,PL,TEAMPLACE,LASTNAME,FIRSTNAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,MEET,DATE,5k,600m,1k,2k,2.25k,2.5 Miles,4.25k,5.5k,7k,7.25k,Unnamed: 0,GAP,Avg. K,1K,2.4,4.45,8k,PACE,1 Mile,3300,3 Mile,6.5,Finish,3.3k,6.5k,1M,3k,4M,2.4K,4.5K,7K,3K,5.8K
340,341,15,Lewis-Norelle, Sasha,JR-3,Macalester,6:04.0,30:09.8,,Jim Drews Invitational (Lacrosse),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:03.5,21:51.6 (10:48.2)
34,36,1,Johnson, Adrian,JR-3,Macalester,5:20.7,26:34.3,35,MIAC,2019,,,,,,,,,,,,,,3:11.2,,,,,,,,,,,,,,,7:41.8 (4:30.7),14:33.0 (6:51.3),23:09.8 (8:36.8),,
60,62,2,Lepak, Jake,SR-4,Macalester,5:26.7,27:04.0,47,MIAC,2019,,,,,,,,,,,,,,3:06.7,,,,,,,,,,,,,,,7:32.3 (4:25.7),14:37.1 (7:04.8),23:41.0 (9:03.9),,
67,69,3,Mayse, Smith,SO-2,Macalester,5:27.8,27:09.7,52,MIAC,2019,,,,,,,,,,,,,,3:07.2,,,,,,,,,,,,,,,7:38.5 (4:31.3),14:46.5 (7:08.0),23:39.6 (8:53.2),,
81,83,4,Reyes Herrera, Edwin,SR-4,Macalester,5:30.4,27:22.7,57,MIAC,2019,,,,,,,,,,,,,,3:20.7,,,,,,,,,,,,,,,8:05.6 (4:44.9),15:10.9 (7:05.3),24:00.5 (8:49.6),,
88,90,5,O'Donnell-Hoff, Sam,SR-4,Macalester,5:31.2,27:26.3,60,MIAC,2019,,,,,,,,,,,,,,3:20.6,,,,,,,,,,,,,,,8:05.8 (4:45.3),15:11.8 (7:06.0),24:03.7 (8:52.0),,
96,98,6,Kerr, Fred,SO-2,Macalester,5:33.2,27:36.7,63,MIAC,2019,,,,,,,,,,,,,,3:20.1,,,,,,,,,,,,,,,8:05.7 (4:45.6),15:11.2 (7:05.6),24:03.3 (8:52.2),,
121,123,7,Jarka-Sellers, Peter,SR-4,Macalester,5:39.5,28:07.7,67,MIAC,2019,,,,,,,,,,,,,,3:20.7,,,,,,,,,,,,,,,8:11.8 (4:51.2),15:38.7 (7:26.9),24:43.3 (9:04.6),,
125,127,8,Milner, Michael,SR-4,Macalester,5:40.7,28:13.9,,MIAC,2019,,,,,,,,,,,,,,3:22.2,,,,,,,,,,,,,,,8:05.1 (4:43.0),15:25.3 (7:20.2),24:44.1 (9:18.9),,
128,130,9,Baumeister, Mark,JR-3,Macalester,5:41.3,28:16.7,,MIAC,2019,,,,,,,,,,,,,,3:25.9,,,,,,,,,,,,,,,8:23.2 (4:57.4),15:47.8 (7:24.7),24:58.1 (9:10.3),,
148,150,10,Lewis-Norelle, Sasha,JR-3,Macalester,5:45.7,28:38.8,,MIAC,2019,,,,,,,,,,,,,,3:25.9,,,,,,,,,,,,,,,8:23.6 (4:57.7),15:47.6 (7:24.1),25:10.8 (9:23.2),,
154,156,11,Bildsten, Ben,SR-4,Macalester,5:48.9,28:54.4,,MIAC,2019,,,,,,,,,,,,,,3:23.4,,,,,,,,,,,,,,,8:22.9 (4:59.5),15:52.9 (7:30.0),25:22.3 (9:29.5),,
164,166,12,Hernandez, Armando,SR-4,Macalester,5:52.5,29:12.6,,MIAC,2019,,,,,,,,,,,,,,3:38.5,,,,,,,,,,,,,,,8:48.0 (5:09.5),16:25.4 (7:37.5),25:42.3 (9:16.9),,
167,169,13,Peske, Cole,FR-1,Macalester,5:53.4,29:16.9,,MIAC,2019,,,,,,,,,,,,,,3:21.7,,,,,,,,,,,,,,,8:13.5 (4:51.9),15:52.9 (7:39.4),25:39.8 (9:47.0),,
181,183,14,Rachlin, Peter,FR-1,Macalester,6:00.1,29:50.3,,MIAC,2019,,,,,,,,,,,,,,3:29.5,,,,,,,,,,,,,,,8:38.0 (5:08.5),16:29.3 (7:51.3),26:14.5 (9:45.3),,
196,198,15,Levy, Elijah,JR-3,Macalester,6:07.9,30:29.2,,MIAC,2019,,,,,,,,,,,,,,3:27.2,,,,,,,,,,,,,,,8:31.2 (5:04.0),16:32.3 (8:01.1),26:46.2 (10:14.0),,
208,210,16,Baldus, JoJo,SR-4,Macalester,6:19.8,31:28.3,,MIAC,2019,,,,,,,,,,,,,,3:52.8,,,,,,,,,,,,,,,9:22.2 (5:29.4),17:36.6 (8:14.5),27:41.2 (10:04.7),,
